feature,group,importance_mean,importance_std
codon_L_TTA,codon_usage,-3.491435553012279e-05,0.00013563595929014924
af_median_log10_indel,allele_frequency,-3.7601614748256526e-05,0.0012014653958077315
codon_Q_CAG,codon_usage,-3.952672855971719e-05,0.00036497731453052993
codon_T_ACT,codon_usage,-3.974404404171494e-05,0.00047202505813937417
rg_event_fraction_no_change,rg_events,-4.125988060499107e-05,0.0011097279005275417
codon_V_GTG,codon_usage,-4.4366412851347905e-05,0.0005886356457582272
codon_V_GTA,codon_usage,-4.9581147385933114e-05,0.0003798305822768406
codon_S_TCG,codon_usage,-5.038513453650829e-05,0.0007355303311802044
density_inframe_indel,variant_composition,-5.2832413363730816e-05,0.0011287314173342282
wt_hydropathy,physchem_deltas,-7.209880430560122e-05,0.0015793235949595288
af_frac_singleton_lof,allele_frequency,-7.42869793725025e-05,0.00032196149834160204
codon_C_TGT,codon_usage,-7.744304100996247e-05,0.00014523152734264132
codon_L_CTG,codon_usage,-9.377980834392473e-05,0.0006776017229099193
codon_P_CCG,codon_usage,-9.806864737405506e-05,0.0008454014006609348
rg_fraction_rgs_hit_inframe_indel,rg_events,-9.844364138617713e-05,0.0008753544504685341
codon_I_ATC,codon_usage,-9.942527736144969e-05,0.0003140222678227173
n_r_hits_disrupting,rg_events,-0.0001030801366940133,0.0012196388374193358
rg_event_fraction_movement,rg_events,-0.00010758303922224235,0.00023631673004606972
codon_S_AGC,codon_usage,-0.0001092509144531295,0.0010704108816254468
variant_density,variant_composition,-0.00011545536493178473,0.003005630882202049
codon_I_ATT,codon_usage,-0.0001177372507544605,0.00029629227398523297
af_n_syn,allele_frequency,-0.00012783551154188277,0.0012009997766298964
af_frac_singleton_mis,allele_frequency,-0.0001406140347487212,0.0016949321808060918
sub_rate_charge_alter,substitution_classes,-0.00014113356677886426,0.0013204859918192898
codon_L_TTG,codon_usage,-0.00015420839610295745,0.00035131303990636073
codon_E_GAG,codon_usage,-0.00016424882387679679,0.0007995930373883546
wt_ncpr,physchem_deltas,-0.000191578042364351,0.0015761347959361322
wt_fcr,physchem_deltas,-0.0002040700738266364,0.0014569977351275723
codon_P_CCT,codon_usage,-0.00020605922003081887,0.0011697762454493596
n_rg_motifs,sequence_basic,-0.00021226565334454543,0.002404924056834899
codon_R_AGG,codon_usage,-0.0002284902987078066,0.0010201817255653023
delta_fcr,physchem_deltas,-0.00023037563399264894,0.0015289950639265787
af_log2ratio_lof_syn_count,allele_frequency,-0.000231369673013585,0.002643146371913482
sub_rate_pos_to_anything,substitution_classes,-0.00024026841411983304,0.0016571165312728087
delta_rg_ratio_rel_mean,rg_events,-0.00024408309366880652,0.00185158165980923
codon_S_TCC,codon_usage,-0.0002516748533852684,0.000636832338033104
af_median_log10_delta_mis_syn,allele_frequency,-0.00025454376129392214,0.0020840111346868283
codon_R_CGT,codon_usage,-0.00025747468841182423,0.0010297430134881126
rg_event_fraction_gain,rg_events,-0.00027428127440471095,0.00084567169762906
rg_fraction_rgs_hit_synonymous,rg_events,-0.00027678016319523176,0.001270651598820846
fraction_synonymous,variant_composition,-0.00028986153640097174,0.0014592635518807843
codon_S_AGT,codon_usage,-0.00029229359331201546,0.000516840801904342
n_g_hits_disrupting,rg_events,-0.00029694686802096215,0.0014057262804263759
sub_rate_conservative,substitution_classes,-0.0003273155157883302,0.0016643384365761316
rg_r_fraction,rg_events,-0.00037131772100137755,0.0017117092718831315
af_log2ratio_mis_syn_count,allele_frequency,-0.0003803882095966055,0.0013312864652135104
af_rg_median_log10,allele_frequency,-0.00042205576383553124,0.0015468984143294949
rg_mean_burden_on_hit_missense,rg_events,-0.00044617951833801373,0.0016548653321924736
af_median_log10_mis,allele_frequency,-0.0004733958983783759,0.0019430676792478595
sub_rate_polar_alter,substitution_classes,-0.0004808284849419939,0.001901979493205862
sub_rate_glycine_intro,substitution_classes,-0.0004920440734436401,0.001698487975981059
af_n_lof,allele_frequency,-0.000541057192155055,0.0017627470897029001
codon_P_CCC,codon_usage,-0.0005480446630778807,0.0012670257844081651
density_synonymous,variant_composition,-0.0006042362048191909,0.0018381920378125413
delta_hydropathy,physchem_deltas,-0.0006247277977929959,0.0016227183651960938
